date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:08	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Feb%202022%2003:25:21%20GMT	https://www.ruyile.com/robots.txt		(from )
11:25:08	8827/8827	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Feb%202022%2003:25:21%20GMT	https://www.ruyile.com/school/r5922/	C:/Users/dujunda/Documents/WebDev/ga/web/index.html	(from )
11:25:08	14456/14456	---M-Z	200	added ('OK')	text/css	etag:%228dd79bf2caefd71:0%22	https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css	C:/Users/dujunda/Documents/WebDev/ga/web/images/zhongxue.css	(from https://www.ruyile.com/school/r5922/)
11:25:09	97691/97691	---M-Z	200	added ('OK')	application/javascript	etag:%2248866ce9caefd71:0%22	https://www.ruyile.com/js/jq.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/jq.js	(from https://www.ruyile.com/school/r5922/)
11:25:09	2996/2996	---M-Z	200	added ('OK')	application/javascript	etag:%222c355fe9caefd71:0%22	https://www.ruyile.com/js/fun.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/fun.js	(from https://www.ruyile.com/school/r5922/)
11:25:10	22141/22141	---M-Z	200	added ('OK')	application/javascript	etag:%228c5783eccaefd71:0%22	https://www.ruyile.com/js/layer/layer.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/layer.js	(from https://www.ruyile.com/school/r5922/)
11:25:10	417/417	---M-Z	200	added ('OK')	application/javascript	etag:%22337910f1caefd71:0%22	https://www.ruyile.com/uc/js/top.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/top.js	(from https://www.ruyile.com/school/r5922/)
11:25:10	1234/1234	---M-Z	200	added ('OK')	application/javascript	etag:%22cb676df2caefd71:0%22	https://www.ruyile.com/xy_m/ryl/js/zy/school.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/school.js	(from https://www.ruyile.com/school/r5922/)
11:25:11	1907/1907	---M-Z	200	added ('OK')	application/javascript	etag:%222843dbe8caefd71:0%22	https://www.ruyile.com/comment/js/read.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/read.js	(from https://www.ruyile.com/school/r5922/)
11:25:11	5291/5291	---M--	200	added ('OK')	image/jpeg	etag:%220a640f161d3d21:0%22	https://up.ruyile.com/image/nologo.jpg	C:/Users/dujunda/Documents/WebDev/ga/web/images/nologo.jpg	(from https://www.ruyile.com/school/r5922/)
11:25:11	609/609	---M-Z	200	added ('OK')	application/javascript	etag:%22474054f2caefd71:0%22	https://www.ruyile.com/xy_m/ryl/js/tg/ry_zsy.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/ry_zsy.js	(from https://www.ruyile.com/school/r5922/)
